assn_id,section_id,name,description,date_due,points_possible
1,1,Tin,purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat,7/9/2020,100
2,2,Kanlam,nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst,8/3/2020,100
3,3,Transcof,sapien placerat ante nulla justo aliquam quis turpis eget elit,5/8/2020,25
4,4,Alphazap,praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede,8/22/2020,100
5,5,Viva,neque libero convallis eget eleifend luctus ultricies eu nibh quisque,8/21/2020,25
6,6,Domainer,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt,6/19/2020,100
7,7,Matsoft,eleifend pede libero quis orci nullam molestie nibh in lectus,6/15/2020,100
8,8,Regrant,donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum,5/3/2020,25
9,9,Aerified,purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes,7/5/2020,100
10,10,Bitwolf,sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus,8/15/2020,100
11,11,Kanlam,eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc,6/18/2020,100
12,12,Bytecard,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis,8/13/2020,25
13,13,Alphazap,sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu,5/12/2020,50
14,14,Overhold,non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed,7/21/2020,50
15,15,Tres-Zap,sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in,5/16/2020,10
16,16,Latlux,nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla,5/29/2020,50
17,17,Tres-Zap,cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut,8/15/2020,50
18,18,Y-Solowarm,augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus,6/13/2020,50
19,19,Sonsing,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus,6/5/2020,100
20,20,Zathin,eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo,5/11/2020,25
21,21,Sub-Ex,auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum,5/25/2020,100
22,22,Pannier,eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis,5/10/2020,100
23,23,Latlux,quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede,6/4/2020,25
24,24,Asoka,eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien,5/14/2020,25
25,25,Voyatouch,ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus,5/12/2020,25
